Rank,Club,Country,Level,Elo,From,To
1,Liverpool,ENG,1,2068.99169922,2019-12-30,2020-01-02
2,Man City,ENG,1,1996.73913574,2019-12-30,2020-01-01
3,Barcelona,ESP,1,1982.34667969,2019-12-22,2020-01-04
4,Bayern,GER,1,1932.04956055,2019-12-22,2020-01-19
5,Juventus,ITA,1,1906.69372559,2019-12-19,2020-01-06
6,Real Madrid,ESP,1,1875.16308594,2019-12-23,2020-01-04
7,Paris SG,FRA,1,1870.38635254,2019-12-22,2020-01-12
8,Atletico,ESP,1,1860.78344727,2019-12-27,2020-01-04
9,Chelsea,ENG,1,1849.85412598,2019-12-30,2020-01-01
10,Tottenham,ENG,1,1829.90063477,2019-12-29,2020-01-01
11,Ajax,NED,1,1829.64831543,2019-12-23,2020-01-11
12,Leicester,ENG,1,1824.86657715,2019-12-29,2020-01-01
13,Man United,ENG,1,1823.98095703,2019-12-29,2020-01-01
14,RB Leipzig,GER,1,1822.32409668,2019-12-29,2020-01-01
15,Valencia,ESP,1,1816.84411621,2019-12-29,2020-01-01
16,Dortmund,GER,1,1811.8684082,2019-12-27,2020-01-04
17,Benfica,POR,1,1809.58569336,2019-12-27,2020-01-04
18,Arsenal,ENG,1,1790.8145752,2019-12-30,2020-01-01
19,Porto,POR,1,1790.76855469,2019-12-17,2020-01-05
20,Inter,ITA,1,1790.58483887,2019-12-22,2020-01-06
21,Sevilla,ESP,1,1785.92321777,2019-12-22,2020-01-03
22,Salzburg,AUT,1,1781.31396484,2019-12-16,2020-01-18
23,Napoli,ITA,1,1781.0625,2019-12-23,2020-01-06
24,Getafe,ESP,1,1780.79772949,2019-12-23,2020-01-04
25,Wolves,ENG,1,1769.79858398,2019-12-30,2020-01-01
26,Atalanta,ITA,1,1766.16931152,2019-12-28,2020-01-01
27,Sociedad,ESP,1,1764.41418457,2019-12-28,2020-01-01
28,Roma,ITA,1,1763.6739502,2019-12-28,2020-01-01
29,Bilbao,ESP,1,1751.27416992,2019-12-23,2020-01-03
30,Shakhtar,UKR,1,1744.17626953,2019-12-17,2020-01-05
31,Crystal Palace,ENG,1,1739.13146973,2019-12-29,2020-01-01
32,Everton,ENG,1,1738.94384766,2019-12-29,2020-01-01
33,Villarreal,ESP,1,1734.13415527,2019-12-29,2020-01-05
34,Leverkusen,GER,1,1731.82250977,2019-12-29,2020-01-18
35,Gladbach,GER,1,1719.18261719,2019-12-27,2020-01-05
36,Lazio,ITA,1,1717.4453125,2019-12-27,2020-01-05
37,Newcastle,ENG,1,1702.85803223,2019-12-29,2020-01-01
38,Levante,ESP,1,1700.17443848,2019-12-23,2020-01-01
39,Sporting,POR,1,1695.17944336,2019-12-27,2020-01-05
40,Zenit,RUS,1,1694.98999023,2019-12-27,2020-01-05
41,Hoffenheim,GER,1,1694.53051758,2019-12-27,2020-01-05
42,Brugge,BEL,1,1692.11779785,2019-12-27,2020-01-10
43,Betis,ESP,1,1691.70983887,2019-12-29,2020-01-05
44,Dinamo Zagreb,CRO,1,1691.56652832,2019-12-29,2020-01-01
45,Schalke,GER,1,1691.08911133,2019-12-29,2020-01-01
46,Lyon,FRA,1,1690.15014648,2019-12-29,2020-01-01
47,Wolfsburg,GER,1,1687.54724121,2019-12-29,2020-01-01
48,West Ham,ENG,1,1685.68151855,2019-12-30,2020-01-01
49,Sheffield United,ENG,1,1684.55993652,2019-12-30,2020-01-02
50,Osasuna,ESP,1,1682.08325195,2019-12-29,2020-01-05
51,Eibar,ESP,1,1681.85522461,2019-12-29,2020-01-04
52,Olympiakos,GRE,1,1680.5534668,2019-12-29,2020-01-04
53,Burnley,ENG,1,1678.64355469,2019-12-29,2020-01-01
54,Bournemouth,ENG,1,1674.19067383,2019-12-29,2020-01-01
55,Frankfurt,GER,1,1673.6472168,2019-12-23,2020-01-01
56,Alaves,ESP,1,1670.82177734,2019-12-23,2020-01-01
57,Southampton,ENG,1,1669.26843262,2019-12-29,2020-01-01
58,LASK,AUT,1,1668.88696289,2019-12-27,2020-01-01
59,Marseille,FRA,1,1667.52587891,2019-12-27,2020-01-01
60,Milan,ITA,1,1667.03186035,2019-12-27,2020-01-06
61,Slavia Praha,CZE,1,1664.15563965,2019-12-27,2020-01-05
62,Watford,ENG,1,1657.73669434,2019-12-30,2020-01-01
63,PAOK,GRE,1,1654.95776367,2019-12-30,2020-01-01
64,Brighton,ENG,1,1654.20068359,2019-12-30,2020-01-01
65,Young Boys,SUI,1,1652.36071777,2019-12-30,2020-01-04
66,Celtic,SCO,1,1651.23461914,2019-12-30,2020-01-04
67,Valladolid,ESP,1,1650.07641602,2019-12-29,2020-01-03
68,Alkmaar,NED,1,1649.69384766,2019-12-29,2020-01-03
69,Granada,ESP,1,1648.10803223,2019-12-29,2020-01-03
70,PSV,NED,1,1647.44689941,2019-12-29,2020-01-05
71,Torino,ITA,1,1646.58544922,2019-12-29,2020-01-05
72,Rangers,SCO,1,1646.14526367,2019-12-30,2020-01-12
73,Basel,SUI,1,1646.08581543,2019-12-30,2020-01-12
74,Celta,ESP,1,1641.93798828,2019-12-23,2020-01-05
75,Espanyol,ESP,1,1640.98657227,2019-12-23,2020-01-04
76,Freiburg,GER,1,1640.67004395,2019-12-23,2020-01-04
77,Leganes,ESP,1,1637.72131348,2019-12-23,2020-01-03
78,Gent,BEL,1,1635.81811523,2019-12-30,2020-01-18
79,Lille,FRA,1,1634.51672363,2019-12-30,2020-01-12
80,Werder,GER,1,1632.99108887,2019-12-30,2020-01-12
81,Mainz,GER,1,1630.94665527,2019-12-30,2020-01-12
82,Rennes,FRA,1,1628.12939453,2019-12-30,2020-01-10
83,West Brom,ENG,2,1626.94750977,2019-12-30,2020-01-01
84,Augsburg,GER,1,1625.72375488,2019-12-22,2020-01-01
85,FC Krasnodar,RUS,1,1624.2376709,2019-12-18,2020-01-04
86,Hertha,GER,1,1622.96533203,2019-12-22,2020-01-04
87,Montpellier,FRA,1,1619.26525879,2019-12-29,2020-01-01
88,Dynamo Kyiv,UKR,1,1611.75549316,2019-12-29,2020-01-01
89,Braga,POR,1,1611.47192383,2019-12-29,2020-01-01
90,Aston Villa,ENG,1,1610.34558105,2019-12-29,2020-01-01
91,Reims,FRA,1,1609.23999023,2019-12-22,2020-01-11
92,APOEL,CYP,0,1606.99841309,2019-12-22,2020-01-01
93,Cagliari,ITA,1,1605.12084961,2019-12-22,2020-01-01
94,Leeds,ENG,2,1604.96081543,2019-12-30,2020-01-01
95,Cadiz,ESP,2,1601.8717041,2019-12-30,2020-01-04
96,Norwich,ENG,1,1594.94897461,2019-12-29,2020-01-01
97,Monaco,FRA,1,1594.10742188,2019-12-29,2020-01-11
98,Malmoe,SWE,1,1593.43225098,2019-12-29,2020-01-04
99,Huesca,ESP,2,1593.24523926,2019-12-29,2020-01-04
100,Saint-Etienne,FRA,1,1593.00549316,2019-12-29,2020-01-11
None,Feyenoord,NED,1,1591.96826172,2019-12-29,2020-01-11
None,Nice,FRA,1,1591.75256348,2019-12-22,2020-01-11
None,Bologna,ITA,1,1588.99780273,2019-12-23,2020-01-06
None,CSKA Moskva,RUS,1,1587.43591309,2019-12-13,2020-02-29
None,Partizan,SRB,0,1585.85791016,2019-12-13,2020-04-04
None,Sassuolo,ITA,1,1585.06396484,2019-12-23,2020-01-05
None,Bueyueksehir,TUR,1,1584.88061523,2019-12-29,2020-01-18
None,CFR Cluj,ROM,1,1584.375,2019-12-22,2020-02-02
None,Rapid Wien,AUT,1,1580.5625,2019-12-15,2020-02-16
None,Fiorentina,ITA,1,1577.20166016,2019-12-21,2020-01-06
None,Cardiff,ENG,2,1576.99511719,2019-12-30,2020-01-01
None,Almeria,ESP,2,1576.36169434,2019-12-23,2020-01-04
None,Duesseldorf,GER,1,1575.12109375,2019-12-23,2020-01-18
None,Standard,BEL,1,1574.99279785,2019-12-27,2020-01-17
None,Girona,ESP,2,1574.15563965,2019-12-23,2020-01-05
None,Bordeaux,FRA,1,1573.72265625,2019-12-22,2020-01-11
None,Mallorca,ESP,1,1573.02624512,2019-12-22,2020-01-05
None,Nantes,FRA,1,1570.30981445,2019-12-22,2020-01-12
None,Sampdoria,ITA,1,1570.27075195,2019-12-19,2020-01-06
None,Fulham,ENG,2,1569.75036621,2019-12-30,2020-01-01
